timestamp,open,high,low,close,volume
2025-04-20 18:00:00,5283.75,5306.75,5279.0,5300.0,2472
2025-04-20 18:01:00,5299.75,5300.75,5294.0,5295.0,511
2025-04-20 18:02:00,5295.0,5296.25,5290.5,5295.0,544
2025-04-20 18:03:00,5295.25,5295.5,5291.25,5292.0,342
2025-04-20 18:04:00,5292.25,5294.25,5292.0,5292.5,284
2025-04-20 18:05:00,5292.25,5292.5,5285.0,5288.75,735
2025-04-20 18:06:00,5288.75,5289.0,5284.25,5285.0,428
2025-04-20 18:07:00,5284.75,5286.5,5280.5,5282.25,416
2025-04-20 18:08:00,5282.5,5288.75,5282.5,5288.5,406
2025-04-20 18:09:00,5288.75,5288.75,5285.75,5287.5,175
2025-04-20 18:10:00,5287.75,5288.0,5279.5,5280.0,491
2025-04-20 18:11:00,5280.0,5284.5,5279.0,5284.25,371
2025-04-20 18:12:00,5284.0,5288.0,5283.75,5287.0,405
2025-04-20 18:13:00,5287.5,5289.25,5286.25,5287.25,298
2025-04-20 18:14:00,5287.5,5288.0,5286.25,5286.5,196
2025-04-20 18:15:00,5286.5,5288.0,5286.0,5287.5,138
2025-04-20 18:16:00,5287.5,5287.5,5286.75,5287.0,89
2025-04-20 18:17:00,5287.0,5288.25,5287.0,5287.5,86
2025-04-20 18:18:00,5287.5,5289.25,5286.0,5287.75,149
2025-04-20 18:19:00,5288.0,5289.75,5288.0,5289.0,111
2025-04-20 18:20:00,5289.25,5289.25,5287.25,5287.5,118
2025-04-20 18:21:00,5288.0,5288.5,5287.75,5288.5,75
2025-04-20 18:22:00,5288.25,5288.25,5285.5,5286.25,190
2025-04-20 18:23:00,5286.5,5287.5,5284.5,5286.25,178
2025-04-20 18:24:00,5286.5,5288.5,5286.25,5287.75,55
2025-04-20 18:25:00,5287.75,5292.5,5287.75,5291.75,236
2025-04-20 18:26:00,5291.75,5293.5,5291.0,5291.0,225
2025-04-20 18:27:00,5291.75,5292.75,5291.25,5292.25,134
2025-04-20 18:28:00,5292.5,5292.5,5290.75,5291.5,139
2025-04-20 18:29:00,5291.5,5291.5,5287.75,5288.25,278
2025-04-20 18:30:00,5288.25,5290.0,5287.5,5288.0,173
2025-04-20 18:31:00,5288.0,5288.0,5285.25,5286.25,212
2025-04-20 18:32:00,5286.0,5287.75,5284.75,5287.5,167
2025-04-20 18:33:00,5287.5,5287.5,5286.5,5287.0,28
2025-04-20 18:34:00,5287.25,5288.0,5286.5,5287.0,48
2025-04-20 18:35:00,5287.0,5287.5,5285.5,5285.75,73
2025-04-20 18:36:00,5286.0,5286.0,5284.25,5285.5,178
2025-04-20 18:37:00,5285.75,5286.5,5285.0,5286.0,82
2025-04-20 18:38:00,5285.75,5287.25,5285.25,5287.25,76
2025-04-20 18:39:00,5287.0,5287.5,5286.5,5287.0,32
2025-04-20 18:40:00,5286.5,5286.5,5284.25,5284.25,93
2025-04-20 18:41:00,5284.0,5284.5,5281.5,5281.5,216
2025-04-20 18:42:00,5281.5,5282.5,5280.25,5282.0,199
2025-04-20 18:43:00,5282.0,5282.75,5281.5,5281.5,92
2025-04-20 18:44:00,5281.75,5282.75,5280.5,5282.75,109
2025-04-20 18:45:00,5282.5,5282.5,5281.25,5282.25,94
2025-04-20 18:46:00,5282.25,5284.25,5282.25,5284.25,155
2025-04-20 18:47:00,5283.75,5284.5,5283.0,5283.5,92
2025-04-20 18:48:00,5284.25,5284.25,5283.75,5283.75,42
2025-04-20 18:49:00,5284.25,5284.75,5283.25,5283.75,126
2025-04-20 18:50:00,5283.25,5284.75,5283.25,5283.5,82
2025-04-20 18:51:00,5284.0,5284.0,5283.25,5283.75,60
2025-04-20 18:52:00,5284.0,5288.0,5283.75,5286.0,334
2025-04-20 18:53:00,5285.5,5286.25,5284.25,5286.25,131
2025-04-20 18:54:00,5286.25,5287.0,5286.0,5286.0,74
2025-04-20 18:55:00,5286.25,5286.25,5284.25,5286.0,101
2025-04-20 18:56:00,5286.0,5286.25,5285.25,5285.25,42
2025-04-20 18:57:00,5285.25,5286.5,5283.75,5286.25,70
2025-04-20 18:58:00,5286.75,5288.25,5286.5,5287.25,77
2025-04-20 18:59:00,5287.75,5287.75,5286.5,5286.5,86
2025-04-20 19:00:00,5286.75,5289.25,5285.75,5288.0,195
2025-04-20 19:01:00,5288.25,5290.5,5288.0,5289.75,195
2025-04-20 19:02:00,5289.25,5289.5,5287.5,5288.0,53
2025-04-20 19:03:00,5288.25,5289.25,5288.25,5289.25,58
2025-04-20 19:04:00,5289.0,5292.0,5288.5,5291.5,185
2025-04-20 19:05:00,5291.25,5291.75,5290.25,5291.25,136
2025-04-20 19:06:00,5291.5,5293.5,5291.5,5292.5,141
2025-04-20 19:07:00,5292.0,5294.0,5292.0,5293.5,79
2025-04-20 19:08:00,5293.75,5294.0,5292.75,5293.5,122
2025-04-20 19:09:00,5293.25,5293.25,5292.25,5292.25,56
2025-04-20 19:10:00,5291.75,5292.25,5290.5,5290.75,100
2025-04-20 19:11:00,5290.5,5291.0,5290.0,5290.5,87
2025-04-20 19:12:00,5290.25,5290.75,5290.0,5290.5,50
2025-04-20 19:13:00,5290.25,5291.0,5289.75,5290.0,269
2025-04-20 19:14:00,5289.75,5291.25,5289.25,5289.75,139
2025-04-20 19:15:00,5289.75,5290.25,5289.5,5289.5,55
2025-04-20 19:16:00,5289.5,5290.0,5289.25,5290.0,32
2025-04-20 19:17:00,5290.0,5290.25,5289.25,5289.75,27
2025-04-20 19:18:00,5289.75,5290.0,5289.0,5289.25,37
2025-04-20 19:19:00,5289.25,5290.25,5289.25,5289.75,55
2025-04-20 19:20:00,5290.0,5290.25,5289.25,5289.75,28
2025-04-20 19:21:00,5289.75,5290.0,5289.25,5289.25,13
2025-04-20 19:22:00,5289.5,5289.75,5285.25,5285.25,221
2025-04-20 19:23:00,5285.25,5286.0,5283.5,5284.75,263
2025-04-20 19:24:00,5284.25,5285.25,5283.75,5285.25,137
2025-04-20 19:25:00,5285.25,5285.25,5283.5,5285.0,86
2025-04-20 19:26:00,5284.75,5286.5,5284.75,5285.5,78
2025-04-20 19:27:00,5285.25,5286.0,5285.25,5285.75,22
2025-04-20 19:28:00,5285.75,5286.0,5285.25,5286.0,24
2025-04-20 19:29:00,5285.75,5286.25,5285.25,5285.75,27
2025-04-20 19:30:00,5285.75,5287.75,5285.5,5287.5,129
2025-04-20 19:31:00,5287.5,5287.5,5286.25,5287.5,42
2025-04-20 19:32:00,5287.5,5288.5,5287.5,5287.75,70
2025-04-20 19:33:00,5287.75,5288.0,5287.0,5287.75,37
2025-04-20 19:34:00,5287.25,5287.25,5285.75,5286.0,116
2025-04-20 19:35:00,5286.25,5287.0,5286.0,5286.5,22
2025-04-20 19:36:00,5287.0,5288.0,5286.75,5287.25,34
2025-04-20 19:37:00,5287.5,5288.75,5287.0,5288.5,65
2025-04-20 19:38:00,5288.5,5289.0,5288.0,5288.25,69
2025-04-20 19:39:00,5287.75,5288.25,5287.25,5287.75,35
2025-04-20 19:40:00,5287.75,5287.75,5284.75,5285.75,123
2025-04-20 19:41:00,5285.5,5287.0,5285.5,5286.5,47
2025-04-20 19:42:00,5286.5,5288.5,5286.25,5288.0,66
2025-04-20 19:43:00,5287.75,5288.25,5287.5,5288.0,27
2025-04-20 19:44:00,5287.75,5291.5,5287.25,5291.0,285
2025-04-20 19:45:00,5290.5,5291.5,5290.5,5291.5,70
2025-04-20 19:46:00,5291.0,5291.5,5290.75,5291.25,58
2025-04-20 19:47:00,5291.5,5291.5,5290.5,5291.0,20
